t_Android;t_unix;steps;a
126922311930819;1764844866256;24133.0;3
126922809080142;1764844866752;24133.0;3
126923306926965;1764844867253;24133.0;3
126923803352330;1764844867764;24133.0;3
126924300489100;1764844868257;24133.0;3
126924797615038;1764844868751;24133.0;3
126925294753996;1764844869237;24133.0;3
126926289024778;1764844870236;24133.0;3
126926786903215;1764844870730;24151.0;3
126927283314465;1764844871228;24151.0;3
126927780441705;1764844871726;24151.0;3
126928277581080;1764844872223;24151.0;3
126928774728788;1764844872723;24151.0;3
126929769001444;1764844873722;24151.0;3
126930266877278;1764844874216;24151.0;3
126930763264986;1764844874706;24151.0;3
126931260400871;1764844875203;24151.0;3
126931757556705;1764844875705;24151.0;3
126932751807538;1764844876700;24151.0;3
126933248964361;1764844877203;24151.0;3
126933746846080;1764844877705;24151.0;3
126934243218423;1764844878190;24151.0;3
126934740367017;1764844878683;24151.0;3
126935734639621;1764844879688;24151.0;3
126936231760298;1764844880193;24151.0;3
126936728902278;1764844880672;24151.0;3
126937226823475;1764844881181;24168.0;3
126937723174465;1764844881670;24168.0;3
126938220313111;1764844882166;24168.0;3
126938717450767;1764844882665;24168.0;3
126939711719725;1764844883657;24168.0;3
126940208834465;1764844884155;24168.0;3
126940706712955;1764844884650;24168.0;3
126941203130559;1764844885156;24168.0;3
126941700249778;1764844885652;24168.0;3
126942197622590;1764844886145;24168.0;3
126943191653059;1764844887139;24168.0;3
126943688804725;1764844887635;24168.0;3
126944186682173;1764844888140;24168.0;3
126944683065767;1764844888628;24168.0;3
126945180206965;1764844889140;24168.0;3
126945677332694;1764844889641;24168.0;3
126946671614048;1764844890625;24168.0;3
126947168729778;1764844891113;24185.0;3
126947666628996;1764844891619;24185.0;3
126948163014361;1764844892108;24185.0;3
126948660145663;1764844892620;24185.0;3
126949654433163;1764844893599;24185.0;3
126950151566861;1764844894096;24185.0;3
126950648703475;1764844894612;24185.0;3
126951146607903;1764844895091;24185.0;3
126951642971028;1764844895607;24185.0;3
126952140117017;1764844896106;24185.0;3
126952637501705;1764844896595;24185.0;3
