t_Android;t_unix;x;y;z;0;a
126928506939205;1764844872450;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928516933215;1764844872461;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928526910663;1764844872472;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928536856809;1764844872478;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928546758580;1764844872497;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928556735871;1764844872500;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928566665298;1764844872510;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928576650246;1764844872521;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928586548059;1764844872528;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928596492121;1764844872549;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928606454569;1764844872549;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928616653632;1764844872558;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928626600350;1764844872573;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928636471288;1764844872578;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928646287434;1764844872600;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928656272642;1764844872600;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928666206653;1764844872607;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928676156809;1764844872623;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928686083528;1764844872629;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928696040246;1764844872649;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928705963007;1764844872649;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928715875871;1764844872656;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928725722850;1764844872674;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928735647746;1764844872676;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928745585246;1764844872699;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928755516288;1764844872699;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928765763736;1764844872707;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928775392538;1764844872723;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126928785349673;1764844872726;-0.2519894;0.17737842;-0.09767914;0.94630706;3
